William Howard Taft,332 
Grover Cleveland,275 
William McKinley,233 
Zachary Taylor,230 
Theodore Roosevelt,237 
Donald Trump,245 
Chester A. Arthur,238 
Bill Clinton,234 
Herbert Hoover,220 
John Quincy Adams,203 
James Buchanan,217 
James Madison,122 
Andrew Jackson,154 
John Tyler,160 
Franklin Pierce,162 
William Henry Harrison,162 
Calvin Coolidge,166 
Abraham Lincoln,185 
Thomas Jefferson,181 
Barack Obama,180 
John F. Kennedy,182 
